SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1626145,0022201208,"APR 07, 2023",MEM @ MIL,W,22,4,9,0.444,2,4,0.5,0,0,0.0,0,0,0,9,1,0,0,1,10,10,1
22022,1626145,0022201194,"APR 05, 2023",MEM @ NOP,L,43,5,9,0.556,1,4,0.25,2,2,1.0,0,8,8,12,4,1,3,1,13,-25,1
22022,1626145,0022201184,"APR 04, 2023",MEM vs. POR,W,22,0,6,0.0,0,6,0.0,2,2,1.0,0,3,3,5,1,0,1,0,2,-10,1
22022,1626145,0022201165,"APR 02, 2023",MEM @ CHI,L,17,2,5,0.4,2,4,0.5,0,0,0.0,0,1,1,4,0,0,0,0,6,-1,1
22022,1626145,0022201156,"MAR 31, 2023",MEM vs. LAC,W,22,3,10,0.3,1,5,0.2,0,0,0.0,1,1,2,6,2,1,0,0,7,18,1
22022,1626145,0022201133,"MAR 28, 2023",MEM vs. ORL,W,34,3,12,0.25,0,7,0.0,1,2,0.5,0,6,6,8,2,0,2,0,7,-5,1
22022,1626145,0022201115,"MAR 26, 2023",MEM @ ATL,W,23,5,8,0.625,2,3,0.667,1,2,0.5,1,1,2,5,0,0,0,0,13,3,1
22022,1626145,0022201100,"MAR 24, 2023",MEM vs. HOU,W,23,4,8,0.5,3,4,0.75,0,0,0.0,0,3,3,9,0,0,1,0,11,15,1
22022,1626145,0022201088,"MAR 22, 2023",MEM vs. HOU,W,27,5,12,0.417,3,6,0.5,1,1,1.0,1,2,3,7,0,0,0,1,14,-4,1
22022,1626145,0022201075,"MAR 20, 2023",MEM vs. DAL,W,35,7,10,0.7,2,4,0.5,0,0,0.0,0,2,2,6,1,0,1,0,16,7,1
22022,1626145,0022201061,"MAR 18, 2023",MEM vs. GSW,W,30,6,11,0.545,1,3,0.333,0,2,0.0,0,2,2,14,0,0,0,0,13,12,1
22022,1626145,0022201052,"MAR 17, 2023",MEM @ SAS,W,42,7,15,0.467,3,7,0.429,3,4,0.75,2,8,10,10,2,0,2,2,20,19,1
22022,1626145,0022201036,"MAR 15, 2023",MEM @ MIA,L,28,5,10,0.5,1,4,0.25,0,0,0.0,0,4,4,5,0,0,3,1,11,-23,1
22022,1626145,0022201023,"MAR 13, 2023",MEM @ DAL,W,32,6,12,0.5,1,3,0.333,0,0,0.0,0,5,5,3,0,0,3,0,13,6,1
22022,1626145,0022201010,"MAR 11, 2023",MEM vs. DAL,W,33,3,9,0.333,1,5,0.2,4,4,1.0,0,4,4,10,1,0,0,0,11,-1,1
22022,1626145,0022200996,"MAR 09, 2023",MEM vs. GSW,W,33,8,17,0.471,3,9,0.333,3,4,0.75,0,4,4,11,3,0,3,1,22,20,1
22022,1626145,0022200984,"MAR 07, 2023",MEM @ LAL,L,34,6,14,0.429,1,3,0.333,3,3,1.0,1,2,3,3,0,0,0,0,16,-13,1
22022,1626145,0022200970,"MAR 05, 2023",MEM @ LAC,L,36,9,14,0.643,5,7,0.714,2,2,1.0,0,3,3,12,5,0,0,0,25,3,1
22022,1626145,0022200952,"MAR 03, 2023",MEM @ DEN,L,12,0,2,0.0,0,1,0.0,0,0,0.0,0,2,2,2,0,0,0,0,0,-3,1
22022,1626145,0022200938,"MAR 01, 2023",MEM @ HOU,W,21,3,9,0.333,2,6,0.333,0,0,0.0,0,1,1,3,0,0,1,0,8,-1,1
22022,1626145,0022200927,"FEB 28, 2023",MEM vs. LAL,W,14,3,6,0.5,1,3,0.333,0,0,0.0,0,1,1,4,2,0,0,0,7,-2,1
22022,1626145,0022200907,"FEB 25, 2023",MEM vs. DEN,W,20,6,12,0.5,5,10,0.5,0,0,0.0,0,2,2,5,0,0,0,0,17,9,1
22022,1626145,0022200889,"FEB 23, 2023",MEM @ PHI,L,16,1,3,0.333,0,0,0.0,0,0,0.0,0,2,2,6,0,0,1,1,2,1,1
22022,1626145,0022200879,"FEB 15, 2023",MEM vs. UTA,W,14,0,3,0.0,0,2,0.0,0,0,0.0,0,0,0,3,0,0,0,1,0,3,1
22022,1626145,0022200855,"FEB 12, 2023",MEM @ BOS,L,14,2,4,0.5,0,2,0.0,0,0,0.0,0,0,0,1,0,0,0,0,4,-13,1
22022,1626145,0022200841,"FEB 10, 2023",MEM vs. MIN,W,21,3,5,0.6,0,0,0.0,0,0,0.0,0,2,2,2,0,1,1,1,6,9,1
22022,1626145,0022200819,"FEB 07, 2023",MEM vs. CHI,W,15,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,3,1,0,1,1,0,4,1
22022,1626145,0022200805,"FEB 05, 2023",MEM vs. TOR,L,34,4,9,0.444,0,1,0.0,1,1,1.0,1,7,8,7,3,0,4,1,9,6,1
22022,1626145,0022200779,"FEB 02, 2023",MEM @ CLE,L,24,2,8,0.25,0,2,0.0,2,2,1.0,1,0,1,3,2,1,3,0,6,-15,1
22022,1626145,0022200771,"FEB 01, 2023",MEM vs. POR,L,17,1,6,0.167,1,4,0.25,3,4,0.75,0,3,3,3,0,0,1,0,6,-4,1
22022,1626145,0022200753,"JAN 29, 2023",MEM vs. IND,W,30,4,10,0.4,2,7,0.286,0,0,0.0,0,1,1,4,4,0,0,0,10,-3,1
22022,1626145,0022200737,"JAN 27, 2023",MEM @ MIN,L,20,0,4,0.0,0,1,0.0,0,0,0.0,1,1,2,3,2,0,1,0,0,-12,1
22022,1626145,0022200726,"JAN 25, 2023",MEM @ GSW,L,19,3,6,0.5,0,1,0.0,1,1,1.0,1,0,1,5,1,0,0,0,7,-2,1
22022,1626145,0022200712,"JAN 23, 2023",MEM @ SAC,L,31,5,13,0.385,2,5,0.4,0,0,0.0,2,4,6,8,2,0,1,0,12,-7,1
22022,1626145,0022200703,"JAN 22, 2023",MEM @ PHX,L,25,4,10,0.4,3,6,0.5,0,0,0.0,0,1,1,4,1,0,1,1,11,10,1
22022,1626145,0022200690,"JAN 20, 2023",MEM @ LAL,L,20,6,9,0.667,4,6,0.667,4,4,1.0,0,1,1,2,0,0,0,0,20,6,1
22022,1626145,0022200672,"JAN 18, 2023",MEM vs. CLE,W,18,1,6,0.167,0,3,0.0,0,0,0.0,1,2,3,2,1,0,0,1,2,8,1
22022,1626145,0022200663,"JAN 16, 2023",MEM vs. PHX,W,22,4,12,0.333,2,8,0.25,0,0,0.0,0,4,4,8,0,0,1,1,10,9,1
22022,1626145,0022200643,"JAN 14, 2023",MEM @ IND,W,24,2,8,0.25,2,5,0.4,2,2,1.0,0,2,2,5,2,0,0,0,8,16,1
22022,1626145,0022200623,"JAN 11, 2023",MEM vs. SAS,W,18,7,12,0.583,2,2,1.0,0,0,0.0,0,0,0,3,2,0,1,0,16,15,1
22022,1626145,0022200608,"JAN 09, 2023",MEM vs. SAS,W,35,11,19,0.579,2,4,0.5,0,0,0.0,1,2,3,6,3,0,2,1,24,14,1
22022,1626145,0022200600,"JAN 08, 2023",MEM vs. UTA,W,34,7,15,0.467,2,6,0.333,5,5,1.0,0,2,2,6,4,0,1,1,21,5,1
22022,1626145,0022200576,"JAN 05, 2023",MEM @ ORL,W,25,4,10,0.4,2,7,0.286,2,3,0.667,0,3,3,8,2,0,0,0,12,10,1
22022,1626145,0022200564,"JAN 04, 2023",MEM @ CHA,W,15,2,7,0.286,2,6,0.333,2,2,1.0,0,0,0,4,1,0,0,0,8,18,1
22022,1626145,0022200547,"JAN 01, 2023",MEM vs. SAC,W,32,5,10,0.5,5,7,0.714,3,4,0.75,0,6,6,8,1,0,0,0,18,14,1
22022,1626145,0022200543,"DEC 31, 2022",MEM vs. NOP,W,21,3,4,0.75,2,3,0.667,0,0,0.0,0,4,4,8,0,0,0,0,8,7,1
22022,1626145,0022200526,"DEC 29, 2022",MEM @ TOR,W,20,2,6,0.333,0,1,0.0,0,0,0.0,0,1,1,2,1,0,1,1,4,-5,1
